ID,SiteID,ObservationTimeUTC,Value
179062,36061NY09929,2020-01-01 00:00:00.000,29.5
179067,36061NY09929,2020-01-01 01:00:00.000,42.25
179072,36061NY09929,2020-01-01 02:00:00.000,30.91
179077,36061NY09929,2020-01-01 03:00:00.000,17.31
179082,36061NY09929,2020-01-01 04:00:00.000,12.63
179087,36061NY09929,2020-01-01 05:00:00.000,13.58
179092,36061NY09929,2020-01-01 06:00:00.000,10.81
179097,36061NY09929,2020-01-01 07:00:00.000,5.3
179102,36061NY09929,2020-01-01 08:00:00.000,4.7
179107,36061NY09929,2020-01-01 09:00:00.000,3.84
179112,36061NY09929,2020-01-01 10:00:00.000,3.64
179117,36061NY09929,2020-01-01 11:00:00.000,8.45
179121,36061NY09929,2020-01-01 12:00:00.000,9.49
179126,36061NY09929,2020-01-01 13:00:00.000,6.03
179131,36061NY09929,2020-01-01 14:00:00.000,8.35
179136,36061NY09929,2020-01-01 15:00:00.000,17.81
179141,36061NY09929,2020-01-01 16:00:00.000,9.04
179146,36061NY09929,2020-01-01 17:00:00.000,7.28
179151,36061NY09929,2020-01-01 18:00:00.000,8.6
179156,36061NY09929,2020-01-01 19:00:00.000,10.61
179161,36061NY09929,2020-01-01 20:00:00.000,8.43
179166,36061NY09929,2020-01-01 21:00:00.000,10.98
179171,36061NY09929,2020-01-01 22:00:00.000,9.44
179176,36061NY09929,2020-01-01 23:00:00.000,17.32
179181,36061NY09929,2020-01-02 00:00:00.000,20.17
179186,36061NY09929,2020-01-02 01:00:00.000,17.81
179191,36061NY09929,2020-01-02 02:00:00.000,14.99
179196,36061NY09929,2020-01-02 03:00:00.000,18.71
179201,36061NY09929,2020-01-02 04:00:00.000,18.36
179206,36061NY09929,2020-01-02 05:00:00.000,14.95
179211,36061NY09929,2020-01-02 06:00:00.000,13.24
179216,36061NY09929,2020-01-02 07:00:00.000,14.2
179221,36061NY09929,2020-01-02 08:00:00.000,13.97
179226,36061NY09929,2020-01-02 09:00:00.000,16.02
179231,36061NY09929,2020-01-02 10:00:00.000,17.96
179236,36061NY09929,2020-01-02 11:00:00.000,19.92
179241,36061NY09929,2020-01-02 12:00:00.000,23.52
179246,36061NY09929,2020-01-02 13:00:00.000,25.94
179251,36061NY09929,2020-01-02 14:00:00.000,27.04
179256,36061NY09929,2020-01-02 15:00:00.000,41.12
179261,36061NY09929,2020-01-02 16:00:00.000,33.43
179265,36061NY09929,2020-01-02 17:00:00.000,34.87
179269,36061NY09929,2020-01-02 18:00:00.000,27.67
179273,36061NY09929,2020-01-02 19:00:00.000,15.65
179277,36061NY09929,2020-01-02 20:00:00.000,19.2
179281,36061NY09929,2020-01-02 21:00:00.000,18.59
179285,36061NY09929,2020-01-02 22:00:00.000,14.89
179289,36061NY09929,2020-01-02 23:00:00.000,15.8
179293,36061NY09929,2020-01-03 00:00:00.000,15.22
179297,36061NY09929,2020-01-03 01:00:00.000,14.35
179301,36061NY09929,2020-01-03 02:00:00.000,15.45
179305,36061NY09929,2020-01-03 03:00:00.000,17.67
179309,36061NY09929,2020-01-03 04:00:00.000,16.66
179313,36061NY09929,2020-01-03 05:00:00.000,13.99
179317,36061NY09929,2020-01-03 06:00:00.000,12.13
179321,36061NY09929,2020-01-03 07:00:00.000,11.91
179325,36061NY09929,2020-01-03 08:00:00.000,12.86
179329,36061NY09929,2020-01-03 09:00:00.000,13.26
179333,36061NY09929,2020-01-03 10:00:00.000,13.47
179337,36061NY09929,2020-01-03 11:00:00.000,15.32
179341,36061NY09929,2020-01-03 12:00:00.000,17.25
179345,36061NY09929,2020-01-03 13:00:00.000,23.32
179349,36061NY09929,2020-01-03 14:00:00.000,23.44
179353,36061NY09929,2020-01-03 15:00:00.000,26.77
179357,36061NY09929,2020-01-03 16:00:00.000,39.49
179361,36061NY09929,2020-01-03 17:00:00.000,41.38
179365,36061NY09929,2020-01-03 18:00:00.000,48.6
179369,36061NY09929,2020-01-03 19:00:00.000,36.17
179373,36061NY09929,2020-01-03 20:00:00.000,38.2
179377,36061NY09929,2020-01-03 21:00:00.000,37.01
179381,36061NY09929,2020-01-03 22:00:00.000,34.99
179385,36061NY09929,2020-01-03 23:00:00.000,28.78
179389,36061NY09929,2020-01-04 00:00:00.000,31.38
179393,36061NY09929,2020-01-04 01:00:00.000,34.21
179397,36061NY09929,2020-01-04 02:00:00.000,31.25
179401,36061NY09929,2020-01-04 03:00:00.000,32.19
179405,36061NY09929,2020-01-04 04:00:00.000,28.1
179409,36061NY09929,2020-01-04 05:00:00.000,27.71
179413,36061NY09929,2020-01-04 06:00:00.000,27.45
179417,36061NY09929,2020-01-04 07:00:00.000,28.96
179421,36061NY09929,2020-01-04 08:00:00.000,28.47
179425,36061NY09929,2020-01-04 09:00:00.000,20.94
179429,36061NY09929,2020-01-04 10:00:00.000,15.01
179433,36061NY09929,2020-01-04 11:00:00.000,16.09
179437,36061NY09929,2020-01-04 12:00:00.000,20.08
179441,36061NY09929,2020-01-04 13:00:00.000,25.94
179445,36061NY09929,2020-01-04 14:00:00.000,23.31
179449,36061NY09929,2020-01-04 15:00:00.000,22.91
179453,36061NY09929,2020-01-04 16:00:00.000,22.31
179457,36061NY09929,2020-01-04 17:00:00.000,23.43
179461,36061NY09929,2020-01-04 18:00:00.000,30.77
179465,36061NY09929,2020-01-04 19:00:00.000,23.25
179469,36061NY09929,2020-01-04 20:00:00.000,18.52
179473,36061NY09929,2020-01-04 21:00:00.000,18.73
179477,36061NY09929,2020-01-04 22:00:00.000,20.84
179481,36061NY09929,2020-01-04 23:00:00.000,27.07
179485,36061NY09929,2020-01-05 00:00:00.000,16.91
179489,36061NY09929,2020-01-05 01:00:00.000,8.26
179493,36061NY09929,2020-01-05 02:00:00.000,10.15
179497,36061NY09929,2020-01-05 03:00:00.000,8.65
179501,36061NY09929,2020-01-05 04:00:00.000,8.21
179505,36061NY09929,2020-01-05 05:00:00.000,5.88
179509,36061NY09929,2020-01-05 06:00:00.000,4.6
179512,36061NY09929,2020-01-05 07:00:00.000,4.06
179516,36061NY09929,2020-01-05 08:00:00.000,3.94
179520,36061NY09929,2020-01-05 09:00:00.000,3.63
179524,36061NY09929,2020-01-05 10:00:00.000,4.88
179528,36061NY09929,2020-01-05 11:00:00.000,6.27
179532,36061NY09929,2020-01-05 12:00:00.000,7.54
179535,36061NY09929,2020-01-05 13:00:00.000,5.31
179539,36061NY09929,2020-01-05 14:00:00.000,5.24
179543,36061NY09929,2020-01-05 15:00:00.000,9.71
179547,36061NY09929,2020-01-05 16:00:00.000,6.66
179551,36061NY09929,2020-01-05 17:00:00.000,7.72
179555,36061NY09929,2020-01-05 18:00:00.000,8.26
179559,36061NY09929,2020-01-05 19:00:00.000,7.73
179563,36061NY09929,2020-01-05 20:00:00.000,9.51
179567,36061NY09929,2020-01-05 21:00:00.000,9.76
179571,36061NY09929,2020-01-05 22:00:00.000,12.95
179575,36061NY09929,2020-01-05 23:00:00.000,12.42
179579,36061NY09929,2020-01-06 00:00:00.000,10.24
179583,36061NY09929,2020-01-06 01:00:00.000,10.16
179587,36061NY09929,2020-01-06 02:00:00.000,9.43
179591,36061NY09929,2020-01-06 03:00:00.000,7.26
