County Name,Date,Year,Month,Day,Hour,PM2.5,PM10,NO2,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_100m (km/h),Average Traffic Density
Cook,2020-01-01,2020,1,1,0,3.8,20.0,8.2,-4.9,85,0.0,23.8,
Cook,2020-01-01,2020,1,1,1,7.7,23.0,9.9,-5.2,86,0.0,22.7,
Cook,2020-01-01,2020,1,1,2,4.8,22.0,18.1,-5.5,87,0.0,21.3,
Cook,2020-01-01,2020,1,1,3,5.4,16.0,25.5,-5.7,88,0.0,20.3,
Cook,2020-01-01,2020,1,1,4,6.7,15.0,25.0,-6.0,87,0.0,22.1,
Cook,2020-01-01,2020,1,1,5,6.8,15.0,23.2,-6.1,84,0.0,25.8,
Cook,2020-01-01,2020,1,1,6,6.1,14.0,22.3,-5.7,81,0.0,26.2,
Cook,2020-01-01,2020,1,1,7,7.0,18.0,20.9,-5.8,80,0.0,25.9,
Cook,2020-01-01,2020,1,1,8,8.8,17.0,14.4,-5.1,80,0.0,28.3,
Cook,2020-01-01,2020,1,1,9,16.1,27.0,11.1,-2.9,76,0.0,29.0,
Cook,2020-01-01,2020,1,1,10,13.0,27.0,12.3,-0.5,67,0.0,27.9,
Cook,2020-01-01,2020,1,1,11,8.9,37.0,7.6,1.5,60,0.0,30.1,
Cook,2020-01-01,2020,1,1,12,10.0,42.0,5.8,2.9,59,0.0,33.8,
Cook,2020-01-01,2020,1,1,13,6.9,30.0,8.0,4.0,60,0.0,36.1,
Cook,2020-01-01,2020,1,1,14,4.9,28.0,9.5,4.9,61,0.0,36.6,
Cook,2020-01-01,2020,1,1,15,6.0,26.0,10.8,5.0,62,0.0,41.7,
Cook,2020-01-01,2020,1,1,16,1.9,19.0,11.8,4.4,64,0.0,45.3,
Cook,2020-01-01,2020,1,1,17,3.2,17.0,10.7,4.0,66,0.0,48.4,
Cook,2020-01-01,2020,1,1,18,6.9,20.0,9.7,3.4,71,0.0,52.7,
Cook,2020-01-01,2020,1,1,19,7.5,17.0,8.3,3.9,68,0.0,56.0,
Cook,2020-01-01,2020,1,1,20,8.0,22.0,7.7,4.3,65,0.0,56.5,
Cook,2020-01-01,2020,1,1,21,4.0,23.0,7.6,4.4,61,0.0,54.6,
Cook,2020-01-01,2020,1,1,22,4.1,23.0,5.9,4.5,58,0.0,51.8,
Cook,2020-01-01,2020,1,1,23,3.7,24.0,7.0,4.4,57,0.0,52.4,
Cook,2020-01-02,2020,1,2,0,5.8,19.0,5.7,4.2,56,0.0,51.4,
Cook,2020-01-02,2020,1,2,1,3.7,19.0,7.1,4.0,57,0.0,50.2,
Cook,2020-01-02,2020,1,2,2,3.4,15.0,8.0,3.8,57,0.0,49.8,
Cook,2020-01-02,2020,1,2,3,3.5,14.0,11.8,3.7,58,0.0,48.3,
Cook,2020-01-02,2020,1,2,4,7.3,16.0,15.3,3.4,60,0.0,45.9,
Cook,2020-01-02,2020,1,2,5,3.9,17.0,14.8,3.1,62,0.0,43.5,
Cook,2020-01-02,2020,1,2,6,4.3,16.0,14.7,2.5,68,0.0,44.5,
Cook,2020-01-02,2020,1,2,7,3.4,23.0,15.8,2.5,71,0.0,43.4,
Cook,2020-01-02,2020,1,2,8,2.9,22.0,15.7,2.6,74,0.0,42.3,
Cook,2020-01-02,2020,1,2,9,3.8,28.0,15.1,4.1,73,0.0,41.6,
Cook,2020-01-02,2020,1,2,10,7.0,51.0,14.3,5.6,72,0.0,37.3,
Cook,2020-01-02,2020,1,2,11,6.8,47.0,15.5,7.1,70,0.0,37.0,
Cook,2020-01-02,2020,1,2,12,10.0,39.0,15.3,8.3,68,0.0,34.6,
Cook,2020-01-02,2020,1,2,13,9.6,34.0,16.6,9.1,68,0.0,34.9,
Cook,2020-01-02,2020,1,2,14,5.8,34.0,16.2,9.5,69,0.0,32.4,
Cook,2020-01-02,2020,1,2,15,10.4,40.0,16.3,9.2,71,0.0,29.8,
Cook,2020-01-02,2020,1,2,16,15.0,39.0,16.4,8.2,75,0.0,29.6,
Cook,2020-01-02,2020,1,2,17,15.2,48.0,19.9,7.3,79,0.0,28.3,
Cook,2020-01-02,2020,1,2,18,10.9,35.0,23.9,5.4,86,0.0,31.3,
Cook,2020-01-02,2020,1,2,19,15.4,30.0,25.3,5.3,87,0.0,29.0,
Cook,2020-01-02,2020,1,2,20,8.7,22.0,24.1,5.0,88,0.0,27.1,
Cook,2020-01-02,2020,1,2,21,12.8,27.0,23.8,4.7,90,0.0,26.1,
Cook,2020-01-02,2020,1,2,22,11.0,29.0,21.0,4.5,91,0.0,24.8,
Cook,2020-01-02,2020,1,2,23,9.8,24.0,21.1,4.4,93,0.0,24.4,
Cook,2020-01-03,2020,1,3,0,12.3,26.0,21.0,4.0,94,0.0,21.1,
Cook,2020-01-03,2020,1,3,1,19.3,27.0,24.2,3.2,95,0.0,18.7,
Cook,2020-01-03,2020,1,3,2,9.4,27.0,23.1,2.3,96,0.0,16.5,
Cook,2020-01-03,2020,1,3,3,11.3,23.0,23.9,1.7,96,0.0,20.7,
Cook,2020-01-03,2020,1,3,4,13.9,25.0,24.9,0.6,95,0.0,19.2,
Cook,2020-01-03,2020,1,3,5,14.2,24.0,27.0,0.2,94,0.0,22.9,
Cook,2020-01-03,2020,1,3,6,9.4,22.0,27.8,1.0,93,0.0,16.5,
Cook,2020-01-03,2020,1,3,7,8.0,20.0,29.0,1.6,91,0.0,14.8,
Cook,2020-01-03,2020,1,3,8,6.4,16.0,20.5,1.9,90,0.0,14.8,
Cook,2020-01-03,2020,1,3,9,11.6,25.0,11.7,2.5,89,0.0,13.7,
Cook,2020-01-03,2020,1,3,10,9.5,21.0,8.5,3.0,85,0.0,14.8,
Cook,2020-01-03,2020,1,3,11,7.5,21.0,14.8,3.0,78,0.0,14.4,
Cook,2020-01-03,2020,1,3,12,8.0,32.0,10.7,3.0,79,0.0,13.0,
Cook,2020-01-03,2020,1,3,13,11.9,26.0,9.4,2.8,81,0.0,12.2,
Cook,2020-01-03,2020,1,3,14,12.6,32.0,11.2,2.5,83,0.0,12.2,
Cook,2020-01-03,2020,1,3,15,12.2,48.0,9.0,2.3,84,0.0,14.0,
Cook,2020-01-03,2020,1,3,16,14.1,39.0,6.0,1.9,86,0.0,15.8,
Cook,2020-01-03,2020,1,3,17,14.4,40.0,6.6,1.6,88,0.0,14.5,
Cook,2020-01-03,2020,1,3,18,10.9,33.0,8.3,1.0,82,0.0,14.3,
Cook,2020-01-03,2020,1,3,19,11.3,28.0,9.4,1.0,83,0.0,12.6,
Cook,2020-01-03,2020,1,3,20,11.0,26.0,13.7,0.9,84,0.0,13.3,
Cook,2020-01-03,2020,1,3,21,9.5,30.0,12.6,0.8,84,0.0,16.6,
Cook,2020-01-03,2020,1,3,22,13.5,20.0,13.6,0.8,83,0.0,15.1,
Cook,2020-01-03,2020,1,3,23,10.5,23.0,11.4,0.8,83,0.0,14.8,
Cook,2020-01-04,2020,1,4,0,8.2,26.0,10.8,0.7,83,0.0,15.1,
Cook,2020-01-04,2020,1,4,1,12.0,26.0,13.4,0.4,84,0.0,17.6,
Cook,2020-01-04,2020,1,4,2,10.2,25.0,14.0,-0.1,87,0.1,21.7,
Cook,2020-01-04,2020,1,4,3,9.5,21.0,13.0,-0.7,90,0.7,20.8,
Cook,2020-01-04,2020,1,4,4,9.1,21.0,16.1,-1.1,89,0.3,23.5,
Cook,2020-01-04,2020,1,4,5,9.9,23.0,19.3,-1.4,87,0.1,22.7,
Cook,2020-01-04,2020,1,4,6,13.3,26.0,20.0,-1.1,91,0.1,21.0,
Cook,2020-01-04,2020,1,4,7,15.5,24.0,16.7,-1.1,88,0.4,24.7,
Cook,2020-01-04,2020,1,4,8,15.1,21.0,17.3,-1.0,85,0.3,25.4,
Cook,2020-01-04,2020,1,4,9,11.2,19.0,13.4,-0.4,79,0.0,23.4,
Cook,2020-01-04,2020,1,4,10,11.3,19.0,11.6,0.4,72,0.0,25.2,
Cook,2020-01-04,2020,1,4,11,7.0,25.0,9.4,1.1,64,0.0,25.0,
